image_id,blur_variance,brightness_mean,contrast_std,blur_flag,low_light_flag,poor_contrast_flag,overall_readability,annotation_method
8a3f58d261516185,427578.2,110.6,52.6,0,0,0,0.658,AUTO_CV_METRIC
29e6ab7f24e5e428,496931.4,108.3,54.4,0,0,0,0.68,AUTO_CV_METRIC
6afa5ebc9e46b38f,485106.4,113.6,54.9,0,0,0,0.687,AUTO_CV_METRIC
69d1d1545d0e3f72,404385.8,109.9,50.8,0,0,0,0.636,AUTO_CV_METRIC
ad4fb3864427a3fd,485395.4,106.6,56.4,0,0,0,0.705,AUTO_CV_METRIC
57d1b1f91f5a1901,1049962.6,129.6,59.0,0,0,0,0.738,AUTO_CV_METRIC
b1837da4ec82ded3,418446.2,112.7,55.9,0,0,0,0.699,AUTO_CV_METRIC
482c40e5921e547e,980434.9,123.6,58.3,0,0,0,0.729,AUTO_CV_METRIC
235b12aaaf1569d8,623980.4,106.6,57.3,0,0,0,0.717,AUTO_CV_METRIC
6fa2a1825c49de68,843725.2,128.0,61.2,0,0,0,0.765,AUTO_CV_METRIC
a7f200184bfa743d,1030724.9,117.8,61.5,0,0,0,0.769,AUTO_CV_METRIC
12073a5d0e30e08d,686783.8,108.7,55.3,0,0,0,0.691,AUTO_CV_METRIC
640d9b766a0d7ca2,542122.0,118.6,49.0,0,0,0,0.612,AUTO_CV_METRIC
cd9e8b61c6f40236,547137.1,116.9,60.7,0,0,0,0.759,AUTO_CV_METRIC
1fa2612a717aec68,401967.4,111.0,52.0,0,0,0,0.65,AUTO_CV_METRIC
bee1616f88d83cc2,608294.0,107.9,56.4,0,0,0,0.706,AUTO_CV_METRIC
06d6f8a343032b2b,506945.8,113.4,55.1,0,0,0,0.689,AUTO_CV_METRIC
c9022d3b2defd8b8,506196.4,107.9,54.2,0,0,0,0.678,AUTO_CV_METRIC
87317d0a43f7a985,385974.8,111.7,56.0,0,0,0,0.7,AUTO_CV_METRIC
495c25e3299f7dd3,446272.2,119.7,49.0,0,0,0,0.613,AUTO_CV_METRIC
2b99b51f79332a92,208019.0,108.8,53.4,0,0,0,0.667,AUTO_CV_METRIC
c78188c91fc45c42,522580.0,114.1,59.6,0,0,0,0.745,AUTO_CV_METRIC
19786650cfc93d4f,451749.2,118.5,48.3,0,0,0,0.604,AUTO_CV_METRIC
e247a5b195f97516,563721.8,116.2,53.8,0,0,0,0.672,AUTO_CV_METRIC
eb4ab71bff825d4f,560478.9,112.2,54.3,0,0,0,0.679,AUTO_CV_METRIC
84560f92759c71da,458361.4,107.5,49.0,0,0,0,0.613,AUTO_CV_METRIC
3511adc7f930869c,567084.2,113.7,51.9,0,0,0,0.649,AUTO_CV_METRIC
afa1aa1a326a04b8,442901.2,115.7,51.9,0,0,0,0.648,AUTO_CV_METRIC
bd3e46855902341f,459907.5,116.1,52.9,0,0,0,0.662,AUTO_CV_METRIC
77eef684fbe8387e,358552.2,116.4,58.8,0,0,0,0.735,AUTO_CV_METRIC
9d8b7e5e1c1064b8,480996.6,111.7,54.7,0,0,0,0.684,AUTO_CV_METRIC
a71610ae205958aa,421728.0,113.5,49.0,0,0,0,0.612,AUTO_CV_METRIC
c2745ff79dee34af,827757.8,117.5,59.9,0,0,0,0.748,AUTO_CV_METRIC
982f6d04f131ee42,576970.4,95.8,57.9,0,0,0,0.724,AUTO_CV_METRIC
0eec3f4dd9d05539,254676.4,114.6,50.3,0,0,0,0.629,AUTO_CV_METRIC
e7d8cfa976427dca,806806.1,114.4,62.0,0,0,0,0.775,AUTO_CV_METRIC
5a6786e63b18073a,567047.6,103.3,57.8,0,0,0,0.723,AUTO_CV_METRIC
