product_id,n_images,split,source_dataset
Oatly-Natural-Oatghurt,69,test,GroceryStoreDataset_Klasson2019
Arla-Sour-Milk,50,train,GroceryStoreDataset_Klasson2019
Tropicana-Mandarin-Morning,41,train,GroceryStoreDataset_Klasson2019
Tropicana-Apple-Juice,60,train,GroceryStoreDataset_Klasson2019
God-Morgon-Orange-Red-Grapefruit-Juice,46,train,GroceryStoreDataset_Klasson2019
Bravo-Apple-Juice,53,train,GroceryStoreDataset_Klasson2019
Bravo-Orange-Juice,69,train,GroceryStoreDataset_Klasson2019
Tropicana-Golden-Grapefruit,45,val,GroceryStoreDataset_Klasson2019
God-Morgon-Orange-Juice,51,test,GroceryStoreDataset_Klasson2019
Tropicana-Juice-Smooth,51,train,GroceryStoreDataset_Klasson2019
God-Morgon-Apple-Juice,44,val,GroceryStoreDataset_Klasson2019
God-Morgon-Red-Grapefruit-Juice,45,train,GroceryStoreDataset_Klasson2019
Alpro-Shelf-Soy-Milk,61,train,GroceryStoreDataset_Klasson2019
Alpro-Fresh-Soy-Milk,59,train,GroceryStoreDataset_Klasson2019
Alpro-Blueberry-Soyghurt,62,train,GroceryStoreDataset_Klasson2019
Alpro-Vanilla-Soyghurt,48,train,GroceryStoreDataset_Klasson2019
Arla-Ecological-Sour-Cream,53,val,GroceryStoreDataset_Klasson2019
Arla-Sour-Cream,43,val,GroceryStoreDataset_Klasson2019
Garant-Ecological-Standard-Milk,46,test,GroceryStoreDataset_Klasson2019
Arla-Lactose-Medium-Fat-Milk,52,train,GroceryStoreDataset_Klasson2019
Garant-Ecological-Medium-Fat-Milk,77,train,GroceryStoreDataset_Klasson2019
Arla-Standard-Milk,66,train,GroceryStoreDataset_Klasson2019
Arla-Ecological-Medium-Fat-Milk,64,train,GroceryStoreDataset_Klasson2019
Arla-Medium-Fat-Milk,73,train,GroceryStoreDataset_Klasson2019
Valio-Vanilla-Yoghurt,69,train,GroceryStoreDataset_Klasson2019
Yoggi-Strawberry-Yoghurt,70,test,GroceryStoreDataset_Klasson2019
Arla-Natural-Mild-Low-Fat-Yoghurt,50,train,GroceryStoreDataset_Klasson2019
Yoggi-Vanilla-Yoghurt,44,train,GroceryStoreDataset_Klasson2019
Arla-Mild-Vanilla-Yoghurt,62,train,GroceryStoreDataset_Klasson2019
Arla-Natural-Yoghurt,84,train,GroceryStoreDataset_Klasson2019
Oatly-Oat-Milk,69,val,GroceryStoreDataset_Klasson2019
460,1,train,ICDAR2019_SROIE
060,1,train,ICDAR2019_SROIE
044,1,train,ICDAR2019_SROIE
134,1,train,ICDAR2019_SROIE
438,1,train,ICDAR2019_SROIE
577,1,val,ICDAR2019_SROIE
314,1,train,ICDAR2019_SROIE
380,1,val,ICDAR2019_SROIE
206,1,val,ICDAR2019_SROIE
109,1,train,ICDAR2019_SROIE
592,1,train,ICDAR2019_SROIE
106,1,val,ICDAR2019_SROIE
568,1,train,ICDAR2019_SROIE
234,1,val,ICDAR2019_SROIE
509,1,train,ICDAR2019_SROIE
307,1,train,ICDAR2019_SROIE
330,1,train,ICDAR2019_SROIE
214,1,train,ICDAR2019_SROIE
585,1,train,ICDAR2019_SROIE
064,1,test,ICDAR2019_SROIE
323,1,train,ICDAR2019_SROIE
398,1,train,ICDAR2019_SROIE
141,1,val,ICDAR2019_SROIE
304,1,train,ICDAR2019_SROIE
371,1,train,ICDAR2019_SROIE
299,1,train,ICDAR2019_SROIE
222,1,train,ICDAR2019_SROIE
441,1,train,ICDAR2019_SROIE
594,1,train,ICDAR2019_SROIE
518,1,val,ICDAR2019_SROIE
190,1,val,ICDAR2019_SROIE
067,1,test,ICDAR2019_SROIE
501,1,val,ICDAR2019_SROIE
288,1,train,ICDAR2019_SROIE
320,1,val,ICDAR2019_SROIE
357,1,train,ICDAR2019_SROIE
597,1,train,ICDAR2019_SROIE
426,1,test,ICDAR2019_SROIE
514,1,train,ICDAR2019_SROIE
589,1,train,ICDAR2019_SROIE
524,1,train,ICDAR2019_SROIE
056,1,train,ICDAR2019_SROIE
175,1,train,ICDAR2019_SROIE
454,1,test,ICDAR2019_SROIE
