barcode,view_type,product_name,brand,categories,countries,image_url,local_image_path,license,source
6111242100992,front,Perly,Jaouda,"Snacks, Plain fermented dairy desserts with cream","France, India, Morocco, Netherlands, United States",https://images.openfoodfacts.org/images/products/611/124/210/0992/front_fr.172.400.jpg,.\off_download_2\images\6111242100992_front.jpg,CC BY-SA 4.0,Open Food Facts
3017620425035,front,Nutella,Nutella,"Cocoa and hazelnuts spreads, Confectionary based spreads, pates-a-tartiner-au-chocolat, pates-a-tartiner-aux-noisettes, pates-a-tartiner-aux-noisettes-et-au-cacao, petit-dejeuners, produits-a-tartiner, produits-a-tartiner-sucres","Algeria, Belgium, Bulgaria, France, Germany, Guadeloupe, India, Italy, Luxembourg, Martinique, Morocco, Réunion, Spain, Switzerland, Tunisia, United Kingdom, United States",https://images.openfoodfacts.org/images/products/301/762/042/5035/front_en.583.400.jpg,.\off_download_2\images\3017620425035_front.jpg,CC BY-SA 4.0,Open Food Facts
5449000000996,front,Coca-Cola,"COCA-COLA SERVICES SA/NV, Coca-Cola","Colas, pt:bebidas cafeína","Albania, Austria, Belgium, Bulgaria, Canada, Czech Republic, France, Georgia, Germany, Ghana, Iceland, India, Italy, Latvia, Lithuania, Mexico, Morocco, Poland, Romania, Senegal, Spain, Switzerland, Turkey, Ukraine, United Kingdom, United States",https://images.openfoodfacts.org/images/products/544/900/000/0996/front_en.1129.400.jpg,.\off_download_2\images\5449000000996_front.jpg,CC BY-SA 4.0,Open Food Facts
8901719134845,front,Parle-G Biscuit,Parle,Dry biscuits,India,https://images.openfoodfacts.org/images/products/890/171/913/4845/front_en.11.400.jpg,.\off_download_2\images\8901719134845_front.jpg,CC BY-SA 4.0,Open Food Facts
7613035833272,front,Perrier,"Nestlé, Nestlé Waters, Perrier","Non-alcoholic beverages, Unsweetened beverages, Carbonated mineral waters","Belgium, Benin, Burundi, Cameroon, Canada, Central African Republic, Chad, China, Comoros, Côte d'Ivoire, Democratic Republic of the Congo, Djibouti, Equatorial Guinea, France, French Guiana, French Polynesia, French Southern and Antarctic Lands, Gabon, Germany, Guadeloupe, Guinea, Haiti, India, Italy, Lebanon, Luxembourg, Madagascar, Martinique, Mauritius, Mayotte, Monaco, New Caledonia, Republic of the Congo, Réunion, Romania, Rwanda, Saint-Barthélemy, Saint Martin, Saint Pierre and Miquelon, Senegal, Seychelles, Switzerland, Syria, Togo, United Kingdom, United States, Vanuatu, Wallis and Futuna, Clipperton Island",https://images.openfoodfacts.org/images/products/761/303/583/3272/front_en.149.400.jpg,.\off_download_2\images\7613035833272_front.jpg,CC BY-SA 4.0,Open Food Facts
8901719134852,front,Parle G biscuit,Parle,Biscuits,India,https://images.openfoodfacts.org/images/products/890/171/913/4852/front_en.3.400.jpg,.\off_download_2\images\8901719134852_front.jpg,CC BY-SA 4.0,Open Food Facts
8902080000227,front,Sting Energy,Sting,Energy drink with sugar,India,https://images.openfoodfacts.org/images/products/890/208/000/0227/front_en.81.400.jpg,.\off_download_2\images\8902080000227_front.jpg,CC BY-SA 4.0,Open Food Facts
8901063139329,front,bourbon,britannia,Biscuits,India,https://images.openfoodfacts.org/images/products/890/106/313/9329/front_en.14.400.jpg,.\off_download_2\images\8901063139329_front.jpg,CC BY-SA 4.0,Open Food Facts
90162602,front,Red Bull Energy Drink,Red Bull,"Sodas, Energy drinks, Sweetened beverages, Carbonated Sodas","Albania, Australia, Bulgaria, Egypt, France, Greece, India, Ireland, Morocco, Switzerland, Tunisia, United Kingdom, United States",https://images.openfoodfacts.org/images/products/000/009/016/2602/front_en.151.400.jpg,.\off_download_2\images\90162602_front.jpg,CC BY-SA 4.0,Open Food Facts
8901063093522,front,Good Day - Cashew Cookies,Britannia,"Biscuits or cookies variety packs, Biscuit mixes, Biscuits/Cookies (Shelf Stable)",India,https://images.openfoodfacts.org/images/products/890/106/309/3522/front_en.28.400.jpg,.\off_download_2\images\8901063093522_front.jpg,CC BY-SA 4.0,Open Food Facts
8901058017687,front,maggi,Maggi,"Noodles, Maggi, Maggie",India,https://images.openfoodfacts.org/images/products/890/105/801/7687/front_en.13.400.jpg,.\off_download_2\images\8901058017687_front.jpg,CC BY-SA 4.0,Open Food Facts
8901063162914,front,Marie Gold Biscuit,Britannia,Biscuits,"India, United Kingdom",https://images.openfoodfacts.org/images/products/890/106/316/2914/front_en.3.400.jpg,.\off_download_2\images\8901063162914_front.jpg,CC BY-SA 4.0,Open Food Facts
8906010500559,front,Mung Dal,Balaji,"Snacks, Food",India,https://images.openfoodfacts.org/images/products/890/601/050/0559/front_es.15.400.jpg,.\off_download_2\images\8906010500559_front.jpg,CC BY-SA 4.0,Open Food Facts
8901764042911,front,Thums up,Thums up,"Carbonated waters, Colas, Sweetened beverages",India,https://images.openfoodfacts.org/images/products/890/176/404/2911/front_en.41.400.jpg,.\off_download_2\images\8901764042911_front.jpg,CC BY-SA 4.0,Open Food Facts
8906010500245,front,Balaji Wafers Masala Sev Murmura,Balaji Wafers,Wafers,"France, India",https://images.openfoodfacts.org/images/products/890/601/050/0245/front_en.20.400.jpg,.\off_download_2\images\8906010500245_front.jpg,CC BY-SA 4.0,Open Food Facts
8906010502232,front,Balaji wafers panjabi tadka,Balaji,"Crisps, Namkeen",India,https://images.openfoodfacts.org/images/products/890/601/050/2232/front_en.6.400.jpg,.\off_download_2\images\8906010502232_front.jpg,CC BY-SA 4.0,Open Food Facts
8906010500900,front,Wheelos Masala Flavour,Balaji Wafers,Appetizers,India,https://images.openfoodfacts.org/images/products/890/601/050/0900/front_en.20.400.jpg,.\off_download_2\images\8906010500900_front.jpg,CC BY-SA 4.0,Open Food Facts
8901764032912,front,Sprite,"Coca-Cola, sprite","Sodas, Sweetened beverages",India,https://images.openfoodfacts.org/images/products/890/176/403/2912/front_en.26.400.jpg,.\off_download_2\images\8901764032912_front.jpg,CC BY-SA 4.0,Open Food Facts
8906010500023,front,POTATO WAFERS,Balaji,"Appetizers, POTATO WAFERS",India,https://images.openfoodfacts.org/images/products/890/601/050/0023/front_en.8.400.jpg,.\off_download_2\images\8906010500023_front.jpg,CC BY-SA 4.0,Open Food Facts
5999884034469,front,HELL,Hell,"Energy drink with sugar, Sweetened beverages","Bulgaria, Croatia, Greece, India, Morocco, Romania, Spain, Tunisia",https://images.openfoodfacts.org/images/products/599/988/403/4469/front_en.61.400.jpg,.\off_download_2\images\5999884034469_front.jpg,CC BY-SA 4.0,Open Food Facts
7622202225512,front,Original Oreo,Cadbury,"Filled biscuits, Des","India, United States",https://images.openfoodfacts.org/images/products/762/220/222/5512/front_en.28.400.jpg,.\off_download_2\images\7622202225512_front.jpg,CC BY-SA 4.0,Open Food Facts
8901058000290,front,maggi,Nestlé,"Instant noodles, Instant Noodles with Seasoning",India,https://images.openfoodfacts.org/images/products/890/105/800/0290/front_en.36.400.jpg,.\off_download_2\images\8901058000290_front.jpg,CC BY-SA 4.0,Open Food Facts
8904043901015,front,Tata Salt,Tata,"Table salts, Groceries",India,https://images.openfoodfacts.org/images/products/890/404/390/1015/front_en.34.400.jpg,.\off_download_2\images\8904043901015_front.jpg,CC BY-SA 4.0,Open Food Facts
5000108478119,front,Quaker White Oats,Quaker,Rolled oats,"Côte d'Ivoire, Cyprus, France, Gabon, India, Italy, Réunion, Saudi Arabia, Senegal, Spain",https://images.openfoodfacts.org/images/products/500/010/847/8119/front_en.71.400.jpg,.\off_download_2\images\5000108478119_front.jpg,CC BY-SA 4.0,Open Food Facts
3948764032912,front,Sprite,"Coca-Cola, Sprite",Sodas,India,https://images.openfoodfacts.org/images/products/394/876/403/2912/front_en.12.400.jpg,.\off_download_2\images\3948764032912_front.jpg,CC BY-SA 4.0,Open Food Facts
8901063092853,front,Good Day cashew cookie,Britannia,Biscuits,"India, United Kingdom",https://images.openfoodfacts.org/images/products/890/106/309/2853/front_en.4.400.jpg,.\off_download_2\images\8901063092853_front.jpg,CC BY-SA 4.0,Open Food Facts
8906017290040,front,Bisleri 1ltr MADE IN INDIA,Bisleri,Waters,"France, India",https://images.openfoodfacts.org/images/products/890/601/729/0040/front_en.8.400.jpg,.\off_download_2\images\8906017290040_front.jpg,CC BY-SA 4.0,Open Food Facts
